parametres,cours_eau,station_mesure,code_prelevement,date_prelevement,date_analyse,resultat_analyse,unite_mesure,qualification_resultat,,,,,,,,
Imidaclopride,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.005,µg/L,Correcte,,,,,,,,
Terbumeton_désethyl,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.002,µg/L,Correcte,,,,,,,,
Difethialone,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.1,µg/L,Correcte,,,,,,,,
Fluazinam,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.002,µg/L,Correcte,,,,,,,,
Diisobutyl_phthalate,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.5,µg/L,Correcte,,,,,,,,
PCB_157,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.01,µg/L,Correcte,,,,,,,,
PCB_167,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.01,µg/L,Correcte,,,,,,,,
Tébupirimfos,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.005,µg/L,Correcte,,,,,,,,
Atrazine,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.009000000000000001,µg/L,Correcte,,,,,,,,
Ethion,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.005,µg/L,Correcte,,,,,,,,
Fenpropathrine,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.04,µg/L,Correcte,,,,,,,,
Ométhoate,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.02,µg/L,Correcte,,,,,,,,
Cyprodinil,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.002,µg/L,Correcte,,,,,,,,
Haloxyfop,le_Don,DON_à_JANS,20190206114143-PC-479052,2017-03-15,2017-03-29,0.02,µg/L,Correcte,,,,,,,,
Fomesafen,le_Don,DON_à_JANS,20190206114143-PC-479052,2017-03-15,2017-03-29,0.02,µg/L,Correcte,,,,,,,,
Imazaquine,le_Don,DON_à_JANS,20190206114143-PC-479052,2017-03-15,2017-03-29,0.02,µg/L,Correcte,,,,,,,,
Fluazifop,le_Don,DON_à_JANS,20190206114143-PC-479052,2017-03-15,2017-03-29,0.02,µg/L,Correcte,,,,,,,,
Quinoxyfen,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-02-24,0.001,µg/L,Correcte,,,,,,,,
Molinate,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-03-09,0.05,µg/L,Correcte,,,,,,,,
Ethidimuron,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-03-09,0.01,µg/L,Correcte,,,,,,,,
Hexythiazox,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-03-09,0.05,µg/L,Correcte,,,,,,,,
Carfentrazone-ethyl,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-03-09,0.05,µg/L,Correcte,,,,,,,,
Acetamiprid,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-03-09,0.01,µg/L,Correcte,,,,,,,,
Quizalofop,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-03-13,0.02,µg/L,Correcte,,,,,,,,
Méthidation,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-03-23,0.05,µg/L,Correcte,,,,,,,,
Bifenazate,le_Don,DON_à_JANS,20190206114140-PC-479051,2017-02-22,2017-03-23,0.01,µg/L,Correcte,,,,,,,,
Bromoxynil_octanoate,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.08,µg/L,Correcte,,,,,,,,
Clomazone,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.002,µg/L,Correcte,,,,,,,,
Terbuthylazine_désethyl,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.002,µg/L,Correcte,,,,,,,,
Tonalide,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.02,µg/L,Correcte,,,,,,,,
Conductivité,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190206114203-PC-479075,2017-04-19,2017-04-19,352.0,µS/cm,Correcte,,,,,,,,
Matières_en_suspension,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190206114203-PC-479075,2017-04-19,2017-04-20,6.0,mg/L,Correcte,,,,,,,,
pH,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190206114204-PC-479077,2017-06-15,2017-06-15,7.05,unité_pH,Correcte,,,,,,,,
Taux_de_saturation_en_O2,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190206114204-PC-479083,2017-12-15,2017-12-15,61.0,%,Correcte,,,,,,,,
Parathion_méthyl,la_Cône,LE_CÔNE_A_LUSANGER,20190206114206-PC-479097,2017-02-22,2017-03-06,0.005,µg/L,Correcte,,,,,,,,
Procymidone,la_Cône,LE_CÔNE_A_LUSANGER,20190206114206-PC-479097,2017-02-22,2017-03-06,0.001,µg/L,Correcte,,,,,,,,
Flurochloridone,la_Cône,LE_CÔNE_A_LUSANGER,20190206114206-PC-479097,2017-02-22,2017-03-06,0.001,µg/L,Correcte,,,,,,,,
Pentachlorobenzene,la_Cône,LE_CÔNE_A_LUSANGER,20190206114206-PC-479097,2017-02-22,2017-03-06,0.001,µg/L,Correcte,,,,,,,,
NNdimet2sulfamoypyri3carb,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.1,µg/L,Correcte,,,,,,,,
Benzo(b)fluoranthène,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.001,µg/L,Correcte,,,,,,,,
DDE_44',le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.002,µg/L,Correcte,,,,,,,,
Deltaméthrine,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.001,µg/L,Correcte,,,,,,,,
Formothion,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.05,µg/L,Correcte,,,,,,,,
Propanil,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.005,µg/L,Correcte,,,,,,,,
Quizalofop_éthyl,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120712-PC-442868,2017-05-29,2017-05-30,0.005,µg/L,Correcte,,,,,,,,
Fenhexamid,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120712-PC-442868,2017-05-29,2017-05-30,0.005,µg/L,Correcte,,,,,,,,
Prosulfocarbe,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.005,µg/L,Correcte,,,,,,,,
Prochloraz,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.001,µg/L,Correcte,,,,,,,,
Métobromuron,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.002,µg/L,Correcte,,,,,,,,
Méthyl-2-Fluoranthène,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.005,µg/L,Correcte,,,,,,,,
PCB_105,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.001,µg/L,Correcte,,,,,,,,
Isofenphos,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.002,µg/L,Correcte,,,,,,,,
Bromoxynil_octanoate,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.08,µg/L,Correcte,,,,,,,,
CMBA,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,1.0,µg/L,Correcte,,,,,,,,
2-chloro-4-nitrotoluene,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.05,µg/L,Correcte,,,,,,,,
Flutolanil,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.002,µg/L,Correcte,,,,,,,,
PCB_157,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.01,µg/L,Correcte,,,,,,,,
Fluoxastrobine,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.01,µg/L,Correcte,,,,,,,,
Demeton-S-Methyl,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.1,µg/L,Correcte,,,,,,,,
Diazinon,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.01,µg/L,Correcte,,,,,,,,
Chloronèbe,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.005,µg/L,Correcte,,,,,,,,
PCB_209,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.001,µg/L,Correcte,,,,,,,,
fluridone,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.002,µg/L,Correcte,,,,,,,,
Cyromazine,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.1,µg/L,Correcte,,,,,,,,
Méfenpyr_diethyl,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.01,µg/L,Correcte,,,,,,,,
Flupyrsulfuron_meth_sod,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.005,µg/L,Correcte,,,,,,,,
Diméthachlore_CGA_369873,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.01,µg/L,Correcte,,,,,,,,
Propachlore_OXA,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120735-PC-442876,2017-06-22,2017-06-24,0.02,µg/L,Correcte,,,,,,,,
Téflubenzuron,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.005,µg/L,Correcte,,,,,,,,
Isoxaflutole,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120752-PC-442893,2017-10-19,2017-10-19,0.005,µg/L,Correcte,,,,,,,,
Pyridabène,le_Mézillac,MEZILLAC_A_GUEMENE-PENFAO,20190103120804-PC-442902,2017-12-12,2017-12-12,0.01,µg/L,Correcte,,,,,,,,
Prométone,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114121-PC-479012,2017-05-16,2017-06-09,0.01,µg/L,Correcte,,,,,,,,
Bromacil,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114124-PC-479016,2017-09-15,2017-09-19,0.02,µg/L,Correcte,,,,,,,,
Dichlorophène,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114124-PC-479016,2017-09-15,2017-09-19,0.02,µg/L,Correcte,,,,,,,,
Chlorantraniliprole,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114124-PC-479016,2017-09-15,2017-09-19,0.05,µg/L,Correcte,,,,,,,,
Hexachlorobenzène,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114124-PC-479016,2017-09-15,2017-09-21,0.003,µg/L,Correcte,,,,,,,,
Fluroxypyr-meptyl,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114124-PC-479016,2017-09-15,2017-09-21,0.001,µg/L,Correcte,,,,,,,,
Tolyltriazole,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114124-PC-479016,2017-09-15,2017-09-21,0.01,µg/L,Correcte,,,,,,,,
Terbutryne,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114124-PC-479016,2017-09-15,2017-10-02,0.01,µg/L,Correcte,,,,,,,,
Diméthomorphe,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114124-PC-479016,2017-09-15,2017-10-02,0.01,µg/L,Correcte,,,,,,,,
Diallate,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114127-PC-479018,2017-11-15,2017-11-21,0.05,µg/L,Correcte,,,,,,,,
Linuron,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114127-PC-479018,2017-11-15,2017-11-21,0.01,µg/L,Correcte,,,,,,,,
Diéthofencarbe,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114127-PC-479018,2017-11-15,2017-11-21,0.05,µg/L,Correcte,,,,,,,,
Pyridafol,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114127-PC-479018,2017-11-15,2017-11-21,0.01,µg/L,Correcte,,,,,,,,
Bromophos_éthyl,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114127-PC-479018,2017-11-15,2017-11-22,0.001,µg/L,Correcte,,,,,,,,
HCH_gamma,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114127-PC-479018,2017-11-15,2017-11-22,0.001,µg/L,Correcte,,,,,,,,
Tétradifon,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114127-PC-479018,2017-11-15,2017-11-22,0.001,µg/L,Correcte,,,,,,,,
Dieldrine,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-18,0.001,µg/L,Correcte,,,,,,,,
Fenchlorphos,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-18,0.001,µg/L,Correcte,,,,,,,,
Benoxacor,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-18,0.001,µg/L,Correcte,,,,,,,,
Acetochlor_ESA,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-19,0.03,µg/L,Correcte,,,,,,,,
Chlorantraniliprole,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-19,0.05,µg/L,Correcte,,,,,,,,
Chloridazone,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-21,0.02,µg/L,Correcte,,,,,,,,
Fénarimol,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-21,0.05,µg/L,Correcte,,,,,,,,
Propazine,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-21,0.01,µg/L,Correcte,,,,,,,,
Terbutryne,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-21,0.01,µg/L,Correcte,,,,,,,,
Metsulfuron_méthyle,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-21,0.01,µg/L,Correcte,,,,,,,,
cyflufénamide,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-21,0.01,µg/L,Correcte,,,,,,,,
DDD_44',l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.001,µg/L,Correcte,,,,,,,,
DDE_44',l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.002,µg/L,Correcte,,,,,,,,
Nitrofène,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.01,µg/L,Correcte,,,,,,,,
PCBs_A1254,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.1,µg/L,Correcte,,,,,,,,
Tétrachl.Carbone,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.1,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,47.4969354275,-1.9254608851,,,,
Norflurazone,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.002,µg/L,Correcte,,,,,,,,
Téflubenzuron,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.005,µg/L,Correcte,,,,,,,,
Butyl_benzyl_phtalate,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.1,µg/L,Correcte,,,,,,,,
Fluroxypyr-meptyl,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.02,µg/L,Correcte,,,,,,,,
2-Chloro-3-nitrotoluene,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.05,µg/L,Correcte,,,,,,,,
Carfentrazone-ethyl,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.1,µg/L,Correcte,,,,,,,,
mirex,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.05,µg/L,Correcte,,,,,,,,
Dichlorvos,,POYET_A_VALLET,20190312152233-PC-508653,2018-06-26,2018-06-26,0.005,µg/L,Correcte,,,,,,,,
Quizalofop_éthyl,,POYET_A_VALLET,20190312152240-PC-508658,2018-11-13,2018-11-13,0.02,µg/L,Correcte,,,,,,,,
Chlortoluron,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.01,µg/L,Correcte,,,,,,,,
Dichlorprop,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Diuron,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Endosulfan_A,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.001,µg/L,Correcte,,,,,,,,
Dicamba,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.1,µg/L,Correcte,,,,,,,,
Diflubenzuron,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Pencycuron,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Tebufenpyrad,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Fipronil,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.005,µg/L,Correcte,,,,,,,,
Trinexapac-ethyl,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
mirex,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.005,µg/L,Correcte,,,,,,,,
Prothioconazole,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.05,µg/L,Correcte,,,,,,,,
Metolachlor_ESA,,POYET_A_VALLET,20190312152244-PC-508659,2018-05-25,2018-05-25,0.04,µg/L,Correcte,,,,,,,,
DDE_44',,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152054-PC-508611,2018-04-27,2018-04-27,0.001,µg/L,Correcte,,,,,,,,
Diuron,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152054-PC-508611,2018-04-27,2018-04-27,0.02,µg/L,Correcte,,,,,,,,
Biphényle,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152113-PC-508618,2018-05-25,2018-05-25,0.005,µg/L,Correcte,,,,,,,,
Cyproconazole,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152113-PC-508618,2018-05-25,2018-05-25,0.01,µg/L,Correcte,,,,,,,,
Azaconazole,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152113-PC-508618,2018-05-25,2018-05-25,0.01,µg/L,Correcte,,,,,,,,
Tribenuron-Methyle,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152113-PC-508618,2018-05-25,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Pyraclostrobine,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152113-PC-508618,2018-05-25,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Bifenthrine,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.005,µg/L,Correcte,,,,,,,,
Dichlorvos,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.005,µg/L,Correcte,,,,,,,,
Diclofop_méthyl,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.001,µg/L,Correcte,,,,,,,,
Endosulfan_A,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.001,µg/L,Correcte,,,,,,,,
Terbuphos,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.005,µg/L,Correcte,,,,,,,,
Bitertanol,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.01,µg/L,Correcte,,,,,,,,
Tébuthiuron,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.01,µg/L,Correcte,,,,,,,,
Tetraconazole,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.02,µg/L,Correcte,,,,,,,,
Sulfosufuron,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.02,µg/L,Correcte,,,,,,,,
Fosthiazate,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.01,µg/L,Correcte,,,,,,,,
Benfuracarbe,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.02,µg/L,Correcte,,,,,,,,
Chlorthal-diméthyl,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.001,µg/L,Correcte,,,,,,,,
Carbone_Organique,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152123-PC-508621,2018-02-27,2018-02-27,9.0,mg/L,Correcte,,,,,,,,
Thiodicarbe,,BUTTE_DE_LA_ROCHE_A_LE_LOROUX-BOTTEREAU,20190312152123-PC-508622,2018-06-26,2018-06-26,0.02,µg/L,Correcte,,,,,,,,
Fenpropidine,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.05,µg/L,Correcte,,,,,,,,
Pentachlorobenzene,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.001,µg/L,Correcte,,,,,,,,
Triflusulfuron-methyl,,BAGUENAUD_A_LA_HAIE-FOUASSIERE,20190312152118-PC-508619,2018-07-27,2018-07-27,0.02,µg/L,Correcte,,,,,,,,
Dichlorvos,,BUTTE_DE_LA_ROCHE_A_LE_LOROUX-BOTTEREAU,20190312152123-PC-508622,2018-06-26,2018-06-26,0.005,µg/L,Correcte,,,,,,,,
Diméthénamide,,BUTTE_DE_LA_ROCHE_A_LE_LOROUX-BOTTEREAU,20190312152123-PC-508622,2018-06-26,2018-06-26,0.01,µg/L,Correcte,,,,,,,,
Norflurazone,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104410-PC-480138,2018-06-21,2018-06-21,0.007,µg/L,Correcte,,,,,,,,
Desméthylisoproturon,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104410-PC-480138,2018-06-21,2018-06-21,0.007,µg/L,Correcte,,,,,,,,
Métazachlore,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104412-PC-480139,2018-07-17,2018-07-20,0.004,µg/L,Correcte,,,,,,,,
Cyproconazole,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104412-PC-480139,2018-07-17,2018-07-20,0.007,µg/L,Correcte,,,,,,,,
